year,verbs
1971,[meets]
1971,"[dies], gets, gives]]"
1971,"[disapproves, sends, attempts]]"
1971,"[takes, dies, gives]]"
1971,[survives]
1971,"[decides], works]]"
1971,"[falls, indicates]]"
1971,[finds]
1971,[]
1971,[stops]]
1971,[frees]]
1971,[wins]
1971,"[starts], finds, leaves, causes, transforms, establishes]]"
1971,[fires]
1971,[]
1971,[]
1971,[attains]]
1971,[gives]]
1971,[]
1973,"[tells, reconciles, believes, requests, takes]]"
1973,[grows]
1973,[]
1973,[]
1973,[]
1973,[does]]
1973,[assumes]
1973,[breaks]]
1973,[]
1973,[comes]]
1973,[]
1973,[needs]]
1973,[decides]]
1973,[asks]]
1973,[]
1973,[feels]]
1973,[discovers]]
1973,[refuses]]
1973,[]
1973,[]
1973,[]
1973,[shows]]
1973,[drops]
1973,[]
1973,[arrives]]
1973,[tries]]
1973,[falls]]
1973,[shields]]
1973,[]
1973,[]
1973,[]
1973,[decides]]
1973,"[sticks, meets, hands, asks, decides, reveals]]"
1973,"[tells, denies]]"
1973,[calls]
1973,[]
1973,[]
1973,[returns]]
1973,[goes]
1973,[]
1973,[claims]]
1973,"[lives], promises]]"
1973,"[woos, encourages, decides, resists, prohibits]]"
1973,"[begins, promises]]"
1973,"[returns, decides]]"
1973,"[breaks, finds, resists, respects]]"
1973,"[joins, ends]]"
1973,"[joins, undergoes, prohibits]]"
1973,"[opposes, assists, decides]]"
1973,[tells]
1973,[phones]]
1973,[]
1973,"[asks], borrows, refuses, promises, informs]]"
1973,[begs]
1973,[comes]]
1973,[]
1973,[]
1973,[asks]]
1973,[leaves]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[tries]]
1973,"[infiltrates], approaches]]"
1973,"[meets, saves, decides, marries, approaches]]"
1973,[meets]
1973,[prepares]]
1973,[]
1973,[]
1973,[]
1973,[finds]]
1973,"[witness, finds, manages, takes]]"
1973,[stays]
1973,"[helps, closes]]"
1973,[calls]
1973,[]
1973,[appears]]
1973,"[identifies, takes]]"
1973,[phones]
1974,"[finds], gives]]"
1974,[starts]
1974,[]
1974,[]
1974,[]
1974,[remarries]]
1974,[]
1974,[enters]]
1974,[]
1974,"[suggests], begins, feels, tries, calls, wants, realizes, gives, presents]]"
1974,[tells]
1974,[enters]]
1974,[]
1974,[plots]]
1974,"[claims], sees, curses, uses, takes, starts]]"
1974,[hires]
1974,[]
1974,[]
1974,[fights]]
1974,[]
1974,[kidnaps]]
1974,[]
1974,[begins]]
1974,"[grows], marries]]"
1974,[grows]
1974,[does]]
1974,[disapproves]]
1974,"[feels, decides, comes, sends]]"
1974,"[calls, goes, returns]]"
1974,[saves]
1974,[]
1974,[takes]]
1974,"[raises, meets, decides, wants, gets, disappears]]"
1974,[chases]
1974,[changes]]
1974,[]
1974,"[attempts], comes]]"
1974,[enters]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[asks]]
1974,[]
1974,[asks]]
1974,"[marries, takes, promises]]"
1974,"[asks, tells, calls, asks, receives]]"
1974,[needs]
1974,[]
1974,[falls]]
1974,[comes]]
1974,[]
1974,[travels]]
1974,[]
1974,[]
1974,[offends]]
1974,[relocates]
1974,"[abandons], develops]]"
1974,[comes]
1974,[]
1974,[]
1974,"[lives], decides]]"
1974,[summons]
1974,[]
1974,"[meets], lives]]"
1974,[visits]
1974,[comes]]
1974,[]
1974,[]
1974,[]
1974,[passes]]
1974,[]
1974,[]
1975,[]
1975,"[travels], ends]]"
1975,[saves]
1975,[]
1975,[reveals]]
1975,"[admires, meets, finds]]"
1975,"[admires, reveals]]"
1975,[falls]
1975,[develops]]
1975,[loves]
1975,[]
1975,[helps]]
1975,[]
1975,"[enters, decides, loses, shoots]]"
1975,[grows]
1975,[leaves]]
1975,[includes]]
1975,[]
1975,"[beats], finds, takes, loots, gets, abducts]]"
1975,[hunts]
1975,[]
1975,"[beats], abducts]]"
1975,[hunts]
1975,[]
1975,[]
1975,[marries]]
1975,[learns]
1975,"[abducts], wants]]"
1975,[meets]
1975,[leaves]]
1975,[goes]]
1975,[finds]]
1975,[]
1975,[befriends]]
1975,[]
1975,[]
1975,[meets]]
1975,"[realizes, reassures]]"
1975,[joins]
1975,[]
1975,"[dies], dies]]"
1975,[rejects]
1975,[stays]]
1975,[]
1975,[starts]]
1975,[wants]
1975,[arranges]]
1975,[changes]]
1975,[]
1975,[]
1975,[sees]]
1975,[invites]]
1975,[continues]
1975,[]
1975,"[finds, sees, repents]]"
1975,"[arrives, sends]]"
1975,[falls]
1975,[wins]]
1975,[grows]]
1975,[]
1975,[remains]]
1975,[]
1975,[falls]]
1975,"[beats], attacks, beats, returns, appears]]"
1975,[leaves]
1975,"[summons], feels, appears, uses, explains]]"
1975,"[tells, decides, dies]]"
1975,[attacks]
1975,[turns]]
1975,[helps]]
1975,[]
1975,[]
1975,[refuses]]
1975,[fights]]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,"[leaves, asks]]"
1975,[meets]
1976,[]
1976,"[saves, decides]]"
1976,"[succeeds, sends]]"
1976,[returns]
1976,[raises]]
1976,[agrees]]
1976,[leaves]]
1976,"[raises], loses]]"
1976,[feels]
1976,[raises]]
1976,[thinks]]
1976,"[wants], retrieves]]"
1976,[owes]
1976,[tells]]
1976,"[returns, pretends, gets]]"
1976,[lives]
1976,"[pops], likes]]"
1976,[begins]
1976,[]
1976,[decides]]
1976,[passes]]
1976,[informs]]
1976,[hears]]
1976,[takes]
1976,[]
1976,[comes]]
1976,[visits]
1976,[discovers]]
1976,[]
1976,[]
1976,[]
1976,[makes]]
1976,[comes]]
1976,[]
1976,[loves]]
1976,[visits]
1976,[asks]]
1976,[finds]]
1976,"[lives], asks]]"
1976,[agrees]
1976,[]
1976,[encounters]]
1976,[dies]]
1976,"[finds, reveals]]"
1976,"[intends, captures, plans, reveals, urges]]"
1976,[sets]
1976,"[finds, drives, swears, recognizes, steals, refuses, insists, blames]]"
1976,"[captures, fires, warns, comes, finishes]]"
1976,"[wins, bails, continues]]"
1976,[begins]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[feels]]
1976,[steals]]
1976,"[kills], befriends, fails]]"
1976,[kills]
1976,[]
1976,[]
1976,"[sees], goes, loves, studies]]"
1976,[accepts]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[informs]]
1976,[informs]]
1977,"[moves, completes]]"
1977,[introduces]
1977,[receives]]
1977,[goes]]
1977,[]
1977,[meets]]
1977,[]
1977,[wants]]
1977,[performs]]
1977,"[defies], believes, accepts, seeks]]"
1977,[meets]
1977,"[kidnaps], wins, meets, accepts, fights, supports, completes, refuses, hates, proves]]"
1977,[stays]
1977,[]
1977,[reappears]]
1977,[lives]]
1977,"[finds, approaches]]"
1977,[agrees]
1977,"[asks], purchases, asks, continues]]"
1977,"[cautions, goes, takes, comforts]]"
1977,[leaves]
1977,[]
1977,[]
1977,[saves]]
1977,[falls]
1977,[falls]]
1977,[falls]]
1977,[finds]]
1977,[finds]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[asks]]
1977,"[lives, wants]]"
1977,[changes]
1977,"[fights, helps, gets]]"
1977,"[grows, comes]]"
1977,[lives]
1977,"[falls], meets]]"
1977,[treats]
1977,[resents]]
1977,[]
1977,[dislikes]]
1977,[]
1977,"[remains], dreams, runs]]"
1977,[comes]
1977,"[begins, protests]]"
1977,[wins]
1977,"[falls, accepts, fins, demands]]"
1977,"[vows, takes]]"
1977,[mistreats]
1977,[]
1977,[goes]]
1977,[marries]]
1977,[]
1977,[teaches]]
1977,[vows]]
1977,[]
1977,[lives]]
1977,[reminds]]
1977,"[reaches, goes, does, realizes]]"
1977,[works]
1977,[gives]]
1977,[]
1977,"[rebukes, keeps]]"
1977,[sees]
1977,[starts]]
1977,[uses]]
1977,[]
1977,[]
1977,[uses]]
1977,[]
1977,[]
1977,[tries]]
1977,[meets]]
1977,[]
1977,[]
1977,[attacks]]
1977,[misses]]
1977,[agrees]
1977,[Dwarkadas]]
1977,"[decides, comes]]"
1977,[rescues]
1977,"[Dwarkadas], meets, asks]]"
1977,[agrees]
1977,"[hears], tells, goes, decides, learns, survives, wants, lets, takes, informs]]"
1977,[discloses]
1977,"[barges, goes]]"
1977,"[stays, manages]]"
1977,[suffers]
1977,[]
1977,[informs]]
1977,[gets]]
1977,[]
1977,[arrives]]
1977,[asks]]
1977,[turns]]
1977,[returns]
1977,[]
1977,[]
1977,"[wants], hands, sets, goes, misunderstands, tells, falls, asks, speaks, returns, writes, runs, develops]]"
1977,[accompanies]
1977,[]
1977,[seeks]]
1977,[]
1977,[]
1977,"[falls, rises]]"
1977,[grows]
1977,"[raises], returns]]"
1977,"[falls, refuses]]"
1977,"[decides, gets]]"
1977,[marries]
1977,"[advices, refuses, points, tells, realises, channels, asks, wants, takes, says, promises, urges]]"
1977,[catches]
1977,[]
1977,"[takes], takes]]"
1977,[reaches]
1978,[]
1978,[]
1978,[]
1978,[]
1978,"[ends], explains]]"
1978,"[helps, meets, confronts, drives, befriends, asks]]"
1978,"[tries, Marries, saves, befriends, helps]]"
1978,[tells]
1978,[meets]]
1978,[]
1978,[faces]]
1978,[]
1978,[commits]]
1978,"[wins], belongs, does, gets]]"
1978,[introduces]
1978,[meets]]
1978,[]
1978,"[finds], keeps]]"
1978,"[gets, kills, announces, introduces, seduces, makes, remains, outsmarts, dies]]"
1978,[begins]
1978,[]
1978,[begins]]
1978,[]
1978,"[tries, escapes, manages, learns, survives, returns, gives]]"
1978,[incites]
1978,[remembers]]
1978,[]
1978,"[decides], decides]]"
1978,[learns]
1978,[]
1978,"[swears, refuses]]"
1978,"[decides, regains]]"
1978,[feels]
1978,[]
1978,[follows]]
1978,[]
1978,[feels]]
1978,[happens]]
1978,[leaves]
1978,[]
1978,[enters]]
1978,[wins]
1978,"[comes], gets]]"
1978,[thinks]
1978,[]
1978,[introduces]]
1978,[]
1978,[recovers]]
1978,[comes]]
1978,"[rescues, leaves, makes, blames]]"
1978,[protects]
1978,[dies]]
1978,[rescues]]
1978,[]
1978,"[goes], tries, reaches, loves, collapses, follows, struggles, advises]]"
1978,"[arrives, visits, sings, risks, transcribes, promises]]"
1978,"[begins, fights]]"
1978,[kidnaps]
1978,[begins]]
1978,[]
1978,"[follows], realises, finds]]"
1978,[spends]
1978,[]
1978,[permits]]
1978,"[comes, takes]]"
1978,[finds]
1978,[]
1978,[]
1978,[realises]]
1978,[]
1978,[comes]]
1978,[brings]]
1978,"[tries], comes, forgives, changes, takes, crosses]]"
1978,[hires]
1978,[gives]]
1978,[]
1978,[rescues]]
1978,"[tells], tries, asks]]"
1978,[tells]
1978,[]
1979,[]
1979,[]
1979,"[despises], trusts]]"
1979,[works]
1979,[]
1979,"[asks, entrusts, wants, inherits]]"
1979,[finds]
1979,"[accepts], loves, wants]]"
1979,"[finds, likes]]"
1979,"[feels, asks, comes]]"
1979,[introduces]
1979,[introduces]]
1979,[introduces]]
1979,[]
1979,[]
1979,[passes]]
1979,[]
1979,"[falls, uses]]"
1979,"[tries, tells, declines, tries, visits, agrees, shows, continues, struggles, feeds, takes, hesitates]]"
1979,[walks]
1979,[]
1979,[includes]]
1979,[learns]
1979,[]
1979,[holds]]
1979,[agrees]]
1979,[shaves]]
1979,"[summons, buys, sees, convinces]]"
1979,"[identifies, convinces, goes, ends, takes]]"
1979,[tells]
1979,[]
1979,[]
1979,[finds]]
1979,[]
1979,[refuses]]
1979,[consists]]
1979,[]
1979,[]
1979,[rescues]]
1979,"[leaves, asks, learns, promises, gets]]"
1979,[finds]
1979,[]
1979,"[informs], sets, believes, asks, persuades, hears]]"
1979,[tells]
1979,"[borrows], continues, catches, completes]]"
1979,[5000]
1979,[shocks]]
1979,[gets]]
1979,[]
1979,[falls]]
1979,[]
1979,[joins]]
1979,[betrays]]
1979,"[kills], betrays]]"
1979,"[reveals, goes]]"
1979,"[tells, lives, enters]]"
1979,[incites]
1979,[gives]]
1979,[]
1979,[encourages]]
1979,[helps]]
1979,[]
1979,[]
1979,[]
1979,[]
1979,[Bhojraj]]
1979,[locates]]
1979,[checks]]
1979,[]
1979,[]
1979,[creates]]
1979,[starts]]
1979,[lives]
1979,"[discovers], realizes]]"
1979,"[agrees, goes]]"
1979,[calls]
1979,"[lives], sees, enters, proposes]]"
1979,"[agitates, gives]]"
1979,[asks]
1979,[brings]]
1979,[]
1979,[threatens]]
1979,[captures]]
1979,[]
1979,[comes]]
1979,[]
1979,[]
1979,[]
1979,[steals]]
1979,[brings]]
1979,"[abandons], informs]]"
1979,[hires]
1979,[]
1979,[]
1980,[]
1980,[]
1980,[]
1980,[]
1980,[]
1980,[tells]]
1980,"[sets], asks]]"
1980,[overcomes]
1980,[]
1980,[]
1980,[informs]]
1980,[]
1980,[exploits]]
1980,[]
1980,[asks]]
1980,[]
1980,[]
1980,[marries]]
1980,[]
1980,[]
1980,[fake]]
1980,[]
1980,[abducts]]
1980,[]
1980,[meets]]
1980,[meets]]
1980,[catches]]
1980,"[decides], admits]]"
1980,[bails]
1980,[]
1980,[loses]]
1980,[begs]]
1980,[wants]]
1980,[lives]]
1980,[makes]]
1980,[meets]]
1980,[]
1980,[sees]]
1980,[marries]]
1980,[]
1980,"[falls, confronts, saves, convinces, marries]]"
1980,[wins]
1980,[captures]]
1980,[tries]
1980,"[throws, gives]]"
1980,[tells]
1980,[]
1980,[wins]]
1980,[gets]]
1980,"[saves, understands]]"
1980,[gets]
1980,[]
1980,[grows]]
1980,[witnesses]]
1980,[lives]
1980,[]
1980,"[teaches, points]]"
1980,"[agrees, pretends]]"
1980,[teaches]
1980,[runs]]
1980,[retaliates]
1980,[tries]]
1980,[tries]]
1980,[comes]]
1980,[belongs]]
1980,[proves]]
1980,"[goons, swears]]"
1980,[meets]
1980,[believes]]
1980,[intends]]
1980,[]
1980,"[saves], returns]]"
1980,[finds]
1980,[]
1980,[sees]]
1980,[sets]
1980,[]
1980,"[backfires], bails, compliments, breaks, survives, refuses, gets]]"
1980,[stands]
1980,[confesses]]
1980,[offers]]
1980,[introduces]]
1980,[tries]
1980,"[tries, sets, reveals, unleashes]]"
1980,[kidnaps]
1980,"[decides, pulls]]"
1980,[feels]
1980,[]
1980,[]
1980,"[tries, asks]]"
1980,[shares]
1980,[puts]]
1980,[]
1980,"[fights, throws]]"
1980,"[tries, sabotages, tries, meets, swears]]"
1980,"[tells, finds, fights, goes, asks, comes, hears]]"
1980,[leaves]
1980,"[befriends], leaves, asks, talks, comes, refuses, disagrees]]"
1980,[tries]
1980,[]
1980,"[asks, informs]]"
1980,[sees]
1980,[]
1980,[passes]]
1980,"[picks], assumes, meets, shows, breaks, sees, calls, takes]]"
1980,[flies]
1980,[]
1981,[]
1981,[]
1981,[meets]]
1981,[tries]]
1981,[]
1981,[matches]]
1981,"[knows], gets]]"
1981,[overcomes]
1981,"[moves, goes, returns]]"
1981,[meets]
1981,[lies]]
1981,"[brings], confesses, divorces, betrays]]"
1981,[tries]
1981,"[switches], takes, ditches]]"
1981,[lives]
1981,[grows]]
1981,[takes]]
1981,[lives]]
1981,[]
1981,[buys]]
1981,"[destroys], asks, comes]]"
1981,[shows]
1981,[]
1981,[calls]]
1981,[]
1981,[]
1981,[]
1981,[]
1981,[accepts]]
1981,[gets]]
1981,[dies]
1981,"[meets, lives, breaks, throws]]"
1981,[begs]
1981,"[dismisses, gets, turns]]"
1981,[saves]
1981,[]
1981,[begets]]
1981,[kills]]
1981,[]
1981,[kills]]
1981,[]
1981,[]
1981,"[gets], decides]]"
1981,[goes]
1981,[leaves]]
1981,[grows]
1981,[]
1981,[]
1981,"[commits], realizes]]"
1981,"[pleads, owes, meets, finds, decides, comes, coerces]]"
1981,"[agrees, wants, steps]]"
1981,"[goes, heads]]"
1981,"[realizes, loves, wants]]"
1981,[leaves]
1981,"[wants], loves, gets]]"
1981,[leaves]
1981,"[saves, wants]]"
1981,"[leaves, plans, Dograis, changes]]"
1981,[enters]
1981,[]
1981,[]
1981,[]
1981,"[succeeds, decides, changes]]"
1981,[looks]
1981,[]
1981,[]
1981,"[lives], arranges]]"
1981,"[asks, gets]]"
1981,"[studies, comes]]"
1981,[believes]
1981,[takes]]
1981,[finds]
1981,[]
1981,"[wants, thinks]]"
1981,[learns]
1981,"[builds, wants]]"
1981,[regrets]
1981,"[grows], calls]]"
1981,[stays]
1981,[]
1981,[]
1981,[]
1981,[]
1981,[]
1981,[]
1981,[sets]]
1981,[]
1981,[]
1981,[asks]]
1981,[]
1981,[]
1981,[]
1981,"[manages, decides, marries, runs, seeks]]"
1981,[finds]
1981,[leaves]]
1981,[]
1981,[forbids]]
1981,[reveals]]
1981,[]
1981,[comes]]
1981,"[meets, starts]]"
1981,[grows]
1981,[finds]]
1981,"[asks, comes, loses, discovers]]"
1981,"[falls, proceeds, goes, pretends]]"
1981,[tries]
1981,[returns]]
1981,[asks]
1981,[]
1981,[marries]]
1981,[meets]]
1982,[]
1982,[decides]]
1982,[]
1982,[works]]
1982,[attempts]]
1982,"[grows], helps, turns]]"
1982,[comes]
1982,[]
1982,[]
1982,[]
1982,[dies]]
1982,[]
1982,[recognizes]]
1982,[]
1982,[starts]]
1982,"[marries, helps]]"
1982,"[meets, says]]"
1982,[thinks]
1982,[]
1982,[]
1982,[]
1982,[]
1982,[]
1982,[]
1982,"[takes, discovers]]"
1982,[returns]
1982,"[meets], loves]]"
1982,[sees]
1982,"[saves, loves, asks, decides]]"
1982,"[tells, sees, frequents, marries]]"
1982,[tells]
1982,[]
1982,"[curses, starts]]"
1982,[kidnaps]
1982,[kidnaps]]
1982,[]
1982,[heads]]
1982,[agrees]]
1982,[]
1982,"[approves, meets, leaves, goes, enters, talks, asks, comes, writes, likes]]"
1982,"[confess, comes, helps, overhears]]"
1982,[meets]
1982,"[meets, frequents]]"
1982,"[discloses, realizes, starts]]"
1982,[arrives]
1982,[hires]]
1982,[]
1982,[]
1982,[]
1982,[]
1982,[finds]]
1982,[puts]
1982,[]
1982,[comes]]
1982,[]
1982,[]
1982,[brings]]
1982,[]
1982,[]
1982,[discovers]]
1982,[goes]
1982,[alias]]
1982,[finds]]
1982,"[arranges], comes, reunite]]"
1982,[stays]
1982,[saves]]
1982,"[loses], discovers]]"
1982,[wants]
1982,[]
1982,[]
1982,[]
1982,[seeks]]
1982,"[employs, murders, attempts]]"
1982,[employs]
1982,[takes]]
1982,[steps]]
1982,[]
1982,[murders]]
1982,"[spurns], dies]]"
1982,[goes]
1982,[gives]]
1982,"[needs, decides, comes]]"
1982,[goes]
1982,[]
1982,[]
1982,"[meets], loses]]"
1982,"[meets, tutors, studies]]"
1982,[meets]
1982,[dies]]
1982,[marries]
1982,[]
1982,[appoints]]
1982,"[works, comes, fails]]"
1982,[grows]
1982,[rushes]]
1982,"[needs, learns, returns]]"
1982,[falls]
1982,[rapes]]
1982,[]
1982,[crushes]]
1982,[makes]]
1982,[]
1982,[]
1982,[]
1982,[loves]]
1982,[loves]]
1982,"[waits, finds, forces, steals, understands]]"
1982,[kidnaps]
1982,[meets]]
1982,"[forces], finds, advises, lets]]"
1982,[tells]
1982,[angers]]
1982,[sends]]
1982,[says]
1982,"[advices, misunderstands, promises, shoots]]"
1982,[tells]
1982,"[permits, finds, unites, comes, misunderstands, refuses, promises]]"
1982,"[protects, realizes]]"
1982,[finds]
1982,[]
1982,[]
1982,[finds]]
1982,[informs]]
1982,"[alias, alias]]"
1982,[finds]
1982,[]
1982,[recognises]]
1982,[tricks]]
1982,[leads]
1982,[]
1982,[]
1982,"[arrives, distances, escapes, owes, rescues, succeeds, manages, learns, marries, begins, tells, hires, sees, drives, moves, asks, realizes, returns, takes, dies, reminisces, abducts]]"
1982,[pities]
1982,"[succeeds, calls, asks, rushes, resents, takes, reiterates, pulls]]"
1982,"[tells, starts]]"
1982,"[tells, tries, calls, sees, plans, decides, creates, wants, remains, takes, discovers]]"
1982,[tells]
1982,[]
1982,[]
1982,"[kills], finds, remembers, happens]]"
1982,"[agrees, takes]]"
1982,[replies]
1982,[asks]]
1982,[attempts]]
1982,[]
1982,[]
1982,[decides]]
1982,[pays]]
1982,[sets]
1982,"[informs], reaches, goes, screams, says]]"
1982,[tells]
1982,[vows]]
1982,"[does, installs]]"
1982,[begins]
1982,[]
1982,[]
1982,[]
1982,"[chooses], falls, confesses]]"
1982,"[begins, abides, keeps]]"
1982,[teaches]
1982,[]
1982,"[teaches, abducts]]"
1982,[tells]
1982,[]
1982,[]
1982,"[leaves, goes, decides, comes, regains, reminds]]"
1982,[tells]
1982,[sustains]]
1982,[chooses]]
1983,[lives]
1983,[opposes]]
1983,[]
1983,[works]]
1983,[]
1983,[]
1983,"[brings, falls, finds, leaves, arrests, graduates, asks, cites, refuses, reflects]]"
1983,[recalls]
1983,[]
1983,"[brings], names, plans, decides]]"
1983,"[kills, keeps, gets]]"
1983,[dies]
1983,"[meets, goes, comes, thinks, takes, gets]]"
1983,[tells]
1983,[]
1983,"[resents], discovers, starts, faces, thinks, gives]]"
1983,[goes]
1983,[]
1983,[]
1983,[garlands]]
1983,"[throws], bails, meets]]"
1983,[tells]
1983,[]
1983,[]
1983,[informs]]
1983,[helps]
1983,[meets]]
1983,[]
1983,"[decides, takes, starts]]"
1983,[flees]
1983,[takes]]
1983,[]
1983,[concludes]]
1983,[kills]]
1983,[demands]]
1983,"[insists], swears, reconsiders, takes]]"
1983,"[finds, confronts, decides]]"
1983,[works]
1983,[]
1983,"[hires], intervenes, runs, develops]]"
1983,[loves]
1983,"[sees], discovers]]"
1983,"[enlists, lets]]"
1983,"[kicks, comes, surrenders, lets]]"
1983,"[goes, misunderstands]]"
1983,[calls]
1983,[]
1983,[]
1983,[]
1983,[]
1983,[finds]]
1983,[presents]]
1983,[finds]
1983,[places]]
1983,[]
1983,[remarries]]
1983,[]
1983,[meets]]
1983,"[meets, works, loves, wants, realizes]]"
1983,[escapes]
1983,[]
1983,"[plays, devises]]"
1983,[kills]
1983,[escapes]]
1983,"[kills], protects, decides, learns, marries, sends]]"
1983,[escapes]
1983,[makes]]
1983,"[takes, arranges]]"
1983,[receives]
1983,"[wants], changes, wants]]"
1983,"[tells, opposes, introduces, makes, regains, forgets, stops, starts, says]]"
1983,[tells]
1983,"[asks, keeps]]"
1983,[decides]
1983,[]
1983,[grabs]]
1983,[]
1983,[raises]]
1983,[]
1983,[grabs]]
1983,[grows]]
1983,"[leaves], loves, decides, realizes]]"
1983,[enters]
1983,[]
1983,[]
1983,[comes]]
1983,"[makes], starts]]"
1983,[worries]
1983,"[starts, disappears]]"
1983,"[impresses, shows]]"
1983,[offers]
1983,[]
1983,"[lives], receives]]"
1983,[brings]
1983,[needs]]
1983,"[brings], figures, confesses]]"
1983,"[accepts, meets, finds, sees, starts]]"
1983,[fires]
1983,[]
1983,[changes]]
1983,[refuses]]
1983,[meets]]
1983,[]
1983,"[saves], flees, reunites, finds, decides, blames]]"
1983,[blinds]
1983,[]
1983,"[defies], defies]]"
1983,"[hunts, meets]]"
1983,[enrages]
1983,[]
1983,"[meets], urges]]"
1983,[arranges]
1983,[puts]]
1983,"[comes], loves, comes, intervenes, marries]]"
1983,"[tells, marries]]"
1983,[loves]
1983,[passes]]
1983,"[announces, comes, takes]]"
1983,[meets]
1983,[wants]]
1983,"[tells, chases, introduces, lives, sees, loves, follows, comes, beats, throws, pays]]"
1983,[offers]
1983,"[wanders], wants, turns]]"
1983,[goes]
1983,"[tries, threatens, throws]]"
1983,[tells]
1983,[enters]]
1983,"[chases, earns, beats, fetches]]"
1983,[replies]
1983,[]
1983,"[knows], meets, refuses]]"
1984,[snaps]
1984,[]
1984,"[visits], goes]]"
1984,[realises]
1984,[]
1984,[]
1984,[]
1984,"[finds], changes]]"
1984,[agrees]
1984,[bails]]
1984,"[warns, lies]]"
1984,[asks]
1984,[expresses]]
1984,[]
1984,[]
1984,"[asks], tells, feels, searches, falls, bails, reaches, asks, decides, keeps, promises]]"
1984,[observes]
1984,[motivates]]
1984,"[asks], says]]"
1984,[helps]
1984,"[vows, believes, asks, helps, gets]]"
1984,[tries]
1984,[]
1984,[]
1984,"[meets], decides]]"
1984,[leaves]
1984,[]
1984,[remembers]]
1984,"[meets], comes, swears, remembers]]"
1984,[meets]
1984,[]
1984,[]
1984,[]
1984,[]
1984,[meets]]
1984,[]
1984,[]
